hero,degree_centrality,betweenness_centrality,pagerank,num_connections
CAPTAIN AMERICA,0.29890965732087227,0.05565329941373046,0.010698316382691688,1919
SPIDER-MAN/PETER PARKER,0.27320872274143304,0.0716411536873487,0.010812190831172578,1754
IRON MAN/TONY STARK,0.24392523364485982,0.03749517878123651,0.008185813160814149,1566
THING/BENJAMIN J. GR,0.22554517133956387,0.024907756814388327,0.006956996392979781,1448
MR. FANTASTIC/REED R,0.2205607476635514,0.023523646239585427,0.006427661026357006,1416
HUMAN TORCH/JOHNNY S,0.21993769470404986,0.02154018630806386,0.006664681147321706,1412
WOLVERINE/LOGAN,0.21526479750778818,0.03500251482456038,0.007107804380234825,1382
SCARLET WITCH/WANDA,0.2121495327102804,0.016678448460041254,0.006325440112344815,1362
BEAST/HENRY &HANK& P,0.20794392523364486,0.022171578370247774,0.006001041333346347,1335
THOR/DR. DONALD BLAK,0.20482866043613707,0.023187944804105493,0.007022394076034827,1315
INVISIBLE WOMAN/SUE,0.19828660436137072,0.01553489173123398,0.006003302651113288,1273
VISION,0.19361370716510903,0.010882821609085607,0.005921884276059678,1243
HAWK,0.1841121495327103,0.024418546460142992,0.005699762293815196,1182
CYCLOPS/SCOTT SUMMER,0.1764797507788162,0.01159415983452168,0.0055931203274687796,1133
ANGEL/WARREN KENNETH,0.1764797507788162,0.012789801928626741,0.00445649512463641,1133
ANT-MAN/DR. HENRY J.,0.17383177570093458,0.01132048490711498,0.004663813353891707,1116
WASP/JANET VAN DYNE,0.17258566978193146,0.009587866273540352,0.0052267072409996245,1108
STORM/ORORO MUNROE S,0.17024922118380062,0.012104676097663119,0.0053795639294632715,1093
SHE-HULK/JENNIFER WA,0.16993769470404985,0.015021797829141538,0.004076295159313929,1091
DR. STRANGE/STEPHEN,0.16947040498442367,0.029140899739695702,0.004473826077466443,1088
PROFESSOR X/CHARLES,0.16947040498442367,0.012053270693251609,0.004904517247726535,1088
HULK/DR. ROBERT BRUC,0.1677570093457944,0.02370041998686528,0.0054867891840651275,1077
MARVEL GIRL/JEAN GRE,0.16542056074766356,0.013251443811929768,0.004508159816024575,1062
COLOSSUS II/PETER RA,0.16308411214953272,0.008278636488442787,0.004755226938172664,1047
WONDER MAN/SIMON WIL,0.16277258566978195,0.010675859511061501,0.004222095912574531,1045
ICEMAN/ROBERT BOBBY,0.1576323987538941,0.008423246897093565,0.004155224630686071,1012
"JARVIS, EDWIN",0.15716510903426792,0.009783999264266036,0.0032652154621570684,1009
SUB-MARINER/NAMOR MA,0.15654205607476637,0.015611244917268017,0.003965915753747766,1005
HERCULES [GREEK GOD],0.15560747663551402,0.008880127397109404,0.0035586206096190984,999
DAREDEVIL/MATT MURDO,0.15529595015576325,0.022980157631732445,0.004167513177319105,997
"FURY, COL. NICHOLAS",0.14797507788161995,0.02198780090042891,0.0031589730164599704,950
"JAMESON, J. JONAH",0.14610591900311526,0.01891497637340276,0.004345977574410101,938
BLACK WIDOW/NATASHA,0.14517133956386294,0.011160307233825236,0.003355390196678853,932
QUICKSILVER/PIETRO M,0.144392523364486,0.007641294300788462,0.003499205331462866,927
NIGHTCRAWLER/KURT WA,0.13660436137071652,0.009463079836364343,0.0038983923196824967,877
ROGUE /,0.13130841121495326,0.006509948102516693,0.0036737016866310794,843
"WATSON-PARKER, MARY",0.12725856697819315,0.015318299664799973,0.004458629833831463,817
HAVOK/ALEX SUMMERS,0.1221183800623053,0.034975919894019956,0.003162872676691944,784
QUASAR III/WENDELL V,0.11573208722741433,0.00614048273623245,0.0022900054498778406,743
BLACK KNIGHT V/DANE,0.11573208722741433,0.004206491388022326,0.002303511139321162,743
SHADOWCAT/KATHERINE,0.11370716510903427,0.005793253053566785,0.0028258176065376495,730
BLACK PANTHER/T'CHAL,0.1132398753894081,0.008324625768266303,0.002491999723499586,727
